procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 14  31812 163104  32596 22993980    0    0 13430 36378 7032 10539  8  2 36 54  0
 1 17  31812 161112  32708 22992420    0    0 20084 32884 7804 9532  9  2 47 42  0
 0 17  31812 160032  32772 22979028    0    0 13108 42168 5374 7707  6  2 46 46  0
 0 20  31812 161392  32784 22976064    0    0  2462 61200 1473 2394  0  1 25 74  0
 3 15  31812 161764  32824 22972732    0    0  3306 64030 3925 6072  4  2 45 49  0
 4 11  31812 157184  32960 22976008    0    0 24150 21250 8283 12321 10  3 58 30  0
 2 13  31812 162244  33060 22969716    0    0 17424 43010 7730 10230  9  3 45 43  0
 1 15  31812 159304  33148 22969720    0    0 13056 42184 6195 8716  7  2 47 43  0
 2 15  31812 162652  33276 22965384    0    0 19514 27596 6856 9782  9  3 39 50  0
 0 14  31812 161228  33352 22965552    0    0 15284 41880 6614 9673  8  2 55 35  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15  31812 159168  33460 22967028    0    0 19218 36484 7850 10513 10  3 41 46  0
 0 14  31812 164696  33564 22961116    0    0 22490 23570 6696 8098  8  2 54 36  0
 4 16  31812 159156  33664 22965464    0    0 20548 38084 8173 10840 11  3 57 30  0
 1 11  31812 157296  33768 22971220    0    0 18194 37054 7580 10063  8  2 49 41  0
 0 14  31812 159320  33852 22964476    0    0 17106 34212 7090 7969  9  2 47 42  0
 3 10  31812 164128  33932 22957404    0    0 19424 39300 6692 7994  8  2 39 51  0
 9 14  31812 161048  34028 22957056    0    0 13676 46236 6293 7483  8  2 42 48  0
 0 16  31812 163572  34108 22957896    0    0 12210 37856 6845 7664  6  2 37 55  0
 3 15  31812 163324  34208 22955856    0    0 12582 46196 7628 9042 10  3 38 49  0
