procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  5 183708 1071368   7652 21309032    0    0 30978 25090 13455 11897 13  2 72 13  0	
 3  3 183708 909284   7660 21469492    0    0 24624 42632 13891 17070 10  2 73 15  0	
 1  2 183708 732088   7668 21647492    0    0 25600 24590 16842 20332 12  2 68 17  0	
 3  3 183708 515824   7676 21863088    0    0 24258 23870 17510 21279 11  3 71 15  0	
 2  6 183708 1230552   7672 21132824    0    0 16926 67116 15548 15979 20  4 58 18  0	
 3  3 183708 1031284   7672 21331720    0    0 30052 28660 15141 20348 12  2 62 23  0	
 0  2 183708 870224   7672 21491996    0    0 24130 18216 13470 17480 10  2 65 23  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  7 183708 755120   7700 21608052    0    0 10880 82216 11314 14055  6  2 77 15  0	
 1  1 183708 712704   7704 21652296    0    0  6022 61492 5261 5532  2  1 88  9  0	
 0  1 183708 627144   7724 21733728    0    0  9412 103594 9322 9097  5  2 84 10  0	
 2  1 183708 525092   7728 21836948    0    0 13826 66050 11390 11662  6  2 81 11  0	
13  1 183708 402648   7732 21950404    0    0 19898 28732 10457 10563 10  3 76 12  0	
 1  1 183708 689140   7736 21652912    0    0 27138 59928 16296 18145 17  5 65 14  0	
 4  4 183708 534256   7736 21808668    0    0 29572  6798 11894 12435 12  2 73 13  0	
