procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 11  11672 147944  42324 20679152    0    0  9764 27756 12689 8919  5  1 68 25  0
 0  3  11672 148712  42456 20678684    0    0 19840 73980 13752 10328  5  1 74 20  0
 1  4  11672 142928  42608 20684692    0    0 23062 31884 14965 11859  9  1 74 15  0
 1  2  11672 147504  42744 20679676    0    0 30368 32962 12069 9194 12  1 69 18  0
 5  4  11672 148264  42936 20679084    0    0 32576 18198 15177 11037 12  1 69 18  0
 2  3  11672 148304  43064 20662932    0    0 22782 40356 14136 10336 10  1 74 15  0
 5  3  11672 148880  43252 20662116    0    0 34916 29144 17350 12712 13  1 65 20  0
 2  4  11672 142488  43428 20668468    0    0 30502 27398 16435 12294 11  1 74 13  0
 3  2  11672 145984  43604 20665460    0    0 36006 23494 14609 10412 14  1 71 14  0
 2  3  11672 143856  43728 20641764    0    0 27674 48322 13660 10055 11  1 76 12  0
 5  3  11672 145816  43840 20641684    0    0 17038 44110 15168 10787  7  1 85  6  0
 2  4  11672 149624  44012 20636168    0    0 30140 32536 16914 10162 11  1 61 26  0
 3  2  11672 146128  44144 20640932    0    0 27522 20264 15843 10533 10  1 70 19  0
 1  3  11672 145232  44320 20624184    0    0 32166 25152 13189 8163 13  1 69 16  0
 4  3  11672 142344  44480 20624492    0    0 28476 24490 17653 12796 11  1 70 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  3  11672 144016  44648 20623788    0    0 33698 14310 17275 12128 12  1 74 12  0
 4  4  11672 142512  44772 20624972    0    0 30978 14322 10570 5819 11  1 73 15  0
 1  3  11672 143880  44880 20603176    0    0 29110 27800 8709 4018 12  1 74 13  0
 2  3  11672 148120  45012 20596604    0    0 27554 29294 7476 3455  9  1 76 15  0
 2  2  11672 147960  45136 20597776    0    0 21756 29078 9587 5327  8  1 77 13  0
 1  2  11672 149784  45180 20596820    0    0  4358 37736 6706 3671  2  0 83 15  0
 1  2  11672 145256  45200 20600648    0    0  5890 49154 4536 2395  2  1 83 14  0
 0  3  11672 142960  45308 20602236    0    0 15896 45334 6418 2860  5  1 80 14  0
 1  2  11672 145360  45364 20599704    0    0 14100 46782 4232 2062  5  1 84 10  0
 0  2  11672 148712  45432 20596456    0    0  7306 50368 10281 6413  2  0 87 10  0
 1  2  11672 146112  45524 20599668    0    0  7058 55450 13662 9447  3  1 82 15  0
 2  3  11672 146424  45632 20597524    0    0 15176 39798 16349 11443  7  1 76 15  0
 2  2  11672 147504  45732 20598868    0    0 19198 42016 13209 9413  6  1 78 15  0
 5  2  11672 142312  45828 20601476    0    0 24984 22732 7571 4070  9  1 70 21  0
